# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11] c_myRDF[12] c_myRDF[13] c_myRDF[14] c_myRDF[15] c_myRDF[16] c_myRDF[17] c_myRDF[18] c_myRDF[19] c_myRDF[20] c_myRDF[21]
1000 20
16 7.75 0.0105923 6.00019 1.70362 25.5379 0.585012 29.7335 0 8 0 8 1.32233 8.80607 2.08997 9.41483 0.874296 6.99952 0.941606 24.9103 0.982331 25.1377
17 8.25 0.251929 6.42549 0.929591 30.2486 0.0560787 30.0177 7.58511e-05 8.00013 0 8 1.2148 10.8586 1.24035 11.5105 1.24309 9.09985 1.00756 30.0174 1.05698 30.4953
18 8.75 3.3974 12.8778 1.12398 36.6555 0.323924 31.8645 0.0215977 8.04117 0.000331777 8.00063 0.809466 12.397 0.355916 12.1869 1.46284 11.88 1.12719 36.4441 1.16076 37.1135
19 9.25 2.2216 17.5927 1.03233 43.2314 2.11786 45.359 0.52601 9.15835 0.107006 8.22788 0.651224 13.7801 0.582085 13.4232 1.40483 14.8637 1.01272 42.8969 0.878484 42.7109
20 9.75 0.171681 17.9975 1.0003 50.3108 1.70314 57.4154 1.78351 13.3668 1.50786 11.7858 0.888941 15.8777 1.06405 15.934 1.13628 17.545 0.682202 47.7261 0.657898 47.3681
7000 20
1 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 2.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.283627 0.106926 9.4124e-05 3.54713e-05
6 2.75 0 0 0 0 1.80028 1.01249 0 0 0 0 0 0 0 0 0 0 1.08835 0.719027 0.263019 0.147957
7 3.25 0 0 0 0 5.57583 5.389 0 0 0 0 0.549931 0.143881 0.0225783 0.00590695 0 0 0.927496 1.44702 1.42681 1.26787
8 3.75 0 0 0.0156262 0.0163173 0.484801 5.89535 0 0 0 0 2.57936 1.04191 1.48903 0.52432 2.72262e-05 9.47522e-06 1.72821 3.25211 1.72401 3.06855
9 4.25 0 0 2.93973 3.95796 0.0751696 5.99614 0.0960376 0.0429315 0.0121759 0.00544315 1.68833 1.79667 3.34664 2.02043 0.0113962 0.00510423 1.47222 5.22655 1.57874 5.18586
10 4.75 0 0 2.29999 7.80918 0.00230353 6 2.58762 1.48761 1.68156 0.944242 1.69692 2.74404 2.32821 3.32025 0.202488 0.118147 0.966398 6.84513 1.3811 7.49901
11 5.25 0 0 0.191195 8.20018 0 6 3.49889 3.87347 4.43526 3.96866 1.43319 3.72132 0.834379 3.8892 0.774001 0.64594 0.963753 8.81668 1.1237 9.79776
12 5.75 0.81791 0.668424 0.424395 9.24121 0.00111088 6.00273 2.47775 5.89992 3.32472 6.68783 0.325229 3.98731 0.130493 3.99592 1.44159 1.82497 0.976413 11.2124 0.720408 11.5653
13 6.25 3.96094 4.49271 0.915457 11.8941 0.266725 6.77583 1.8991 7.73482 1.30418 7.94789 0.0577289 4.04308 0.00593407 4.00165 1.55972 3.33197 1.03664 14.2172 0.586686 13.2659
14 6.75 0.958313 5.57185 0.575992 13.8409 2.79862 16.2369 0.233344 7.99776 0.0461177 7.99985 0.651926 4.77773 0.222339 4.2522 1.2193 4.70595 0.924069 17.3411 0.975273 16.5629
15 7.25 0.299413 5.96074 1.05338 17.9478 2.64249 26.5423 0.00172455 8 0.0001151 8 1.5582 6.80331 1.54106 6.25548 0.735557 5.66213 0.845583 20.6387 1.05124 20.6626
